Tournoi,Niveau tournoi,Date debut,Date fin,Nom equipe,World Ranking Eq.,Pays Eq.,Pseudo Joueur
High Honors Tournament 2024,Local,15/08/2023,25/08/2023,CFO Academy,414,Taiwan,KokerHan
High Honors Tournament 2024,Local,15/08/2023,25/08/2023,CFO Academy,414,Taiwan,Hasu7
High Honors Tournament 2024,Local,15/08/2023,25/08/2023,CFO Academy,414,Taiwan,Hitchy
High Honors Tournament 2024,Local,15/08/2023,25/08/2023,CFO Academy,414,Taiwan,Billy
High Honors Tournament 2024,Local,15/08/2023,25/08/2023,CFO Academy,414,Taiwan,Hermes
High Honors Tournament 2024,Local,15/08/2023,25/08/2023,Taipei Bravo,275,Taiwan,pinwei
High Honors Tournament 2024,Local,15/08/2023,25/08/2023,Taipei Bravo,275,Taiwan,Mob
High Honors Tournament 2024,Local,15/08/2023,25/08/2023,Taipei Bravo,275,Taiwan,ZhifeiG
High Honors Tournament 2024,Local,15/08/2023,25/08/2023,Taipei Bravo,275,Taiwan,Yuuto
High Honors Tournament 2024,Local,15/08/2023,25/08/2023,Taipei Bravo,275,Taiwan,Cause
High Honors Tournament 2024,Local,15/08/2023,25/08/2023,PSG Academy,237,Taiwan,Wen
High Honors Tournament 2024,Local,15/08/2023,25/08/2023,PSG Academy,237,Taiwan,TNS
High Honors Tournament 2024,Local,15/08/2023,25/08/2023,PSG Academy,237,Taiwan,Chich1
High Honors Tournament 2024,Local,15/08/2023,25/08/2023,PSG Academy,237,Taiwan,mikey
High Honors Tournament 2024,Local,15/08/2023,25/08/2023,PSG Academy,237,Taiwan,Adizai
High Honors Tournament 2024,Local,15/08/2023,25/08/2023,Miles EC,23,Taiwan,Joker45
High Honors Tournament 2024,Local,15/08/2023,25/08/2023,Miles EC,23,Taiwan,ppdu_
High Honors Tournament 2024,Local,15/08/2023,25/08/2023,Miles EC,23,Taiwan,San
High Honors Tournament 2024,Local,15/08/2023,25/08/2023,Miles EC,23,Taiwan,Billy404
High Honors Tournament 2024,Local,15/08/2023,25/08/2023,Miles EC,23,Taiwan,VertEbres
High Honors Tournament 2024,Local,15/08/2023,25/08/2023,Legendraire,160,Taiwan,ViktWar
High Honors Tournament 2024,Local,15/08/2023,25/08/2023,Legendraire,160,Taiwan,Pudding34
High Honors Tournament 2024,Local,15/08/2023,25/08/2023,Legendraire,160,Taiwan,HotTake
High Honors Tournament 2024,Local,15/08/2023,25/08/2023,Legendraire,160,Taiwan,Edghro
High Honors Tournament 2024,Local,15/08/2023,25/08/2023,Legendraire,160,Taiwan,Ykro
High Honors Tournament 2024,Local,15/08/2023,25/08/2023,KarmineKorp,789,France,Wendnesy
High Honors Tournament 2024,Local,15/08/2023,25/08/2023,KarmineKorp,789,France,PUO
High Honors Tournament 2024,Local,15/08/2023,25/08/2023,KarmineKorp,789,France,unodos
High Honors Tournament 2024,Local,15/08/2023,25/08/2023,KarmineKorp,789,France,mouse
High Honors Tournament 2024,Local,15/08/2023,25/08/2023,KarmineKorp,789,France,Adrik
