Tournoi,Niveau tournoi,Date debut,Date fin,Nom equipe,World Ranking Eq.,Pays Eq.,Pseudo Joueur
Tournoi1,Local,01/01/2023,10/01/2023,Equipe1,23,Taiwan,Joueur1
Tournoi1,Local,01/01/2023,10/01/2023,Equipe1,23,Taiwan,Joueur2
Tournoi1,Local,01/01/2023,10/01/2023,Equipe1,23,Taiwan,Joueur3
Tournoi1,Local,01/01/2023,10/01/2023,Equipe1,23,Taiwan,Joueur4
Tournoi1,Local,01/01/2023,10/01/2023,Equipe1,23,Taiwan,Joueur5
Tournoi1,Local,01/01/2023,10/01/2023,Equipe2,160,Taiwan,Joueur6
Tournoi1,Local,01/01/2023,10/01/2023,Equipe2,160,Taiwan,Joueur7
Tournoi1,Local,01/01/2023,10/01/2023,Equipe2,160,Taiwan,Joueur8
Tournoi1,Local,01/01/2023,10/01/2023,Equipe2,160,Taiwan,Joueur9
Tournoi1,Local,01/01/2023,10/01/2023,Equipe2,160,Taiwan,Joueur10
Tournoi1,Local,01/01/2023,10/01/2023,Equipe3,1147,Taiwan,Joueur11
Tournoi1,Local,01/01/2023,10/01/2023,Equipe3,1147,Taiwan,Joueur12
Tournoi1,Local,01/01/2023,10/01/2023,Equipe3,1147,Taiwan,Joueur13
Tournoi1,Local,01/01/2023,10/01/2023,Equipe3,1147,Taiwan,Joueur14
Tournoi1,Local,01/01/2023,10/01/2023,Equipe3,1147,Taiwan,Joueur15
Tournoi1,Local,01/01/2023,10/01/2023,Equipe4,789,France,Joueur16
Tournoi1,Local,01/01/2023,10/01/2023,Equipe4,789,France,Joueur17
Tournoi1,Local,01/01/2023,10/01/2023,Equipe4,789,France,Joueur18
Tournoi1,Local,01/01/2023,10/01/2023,Equipe4,789,France,Joueur19
Tournoi1,Local,01/01/2023,10/01/2023,Equipe4,789,France,Joueur20
